Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
DEN,2021,Team,72,17480,3114,6422,.485,927,2462,.377,2187,3960,.552,1129,1406,.803,758,2442,3200,1933,582,323,972,1374,8284
DEN,2021,Team/G,,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
DEN,2021,Lg Rank,,1,4,9,4,15,16,8,7,11,6,27,27,7,8,19,13,5,8,21,12,14,8
DEN,2021,Year/Year,,-0.1%,2.9%,0.4%,+.012,17.3%,11.7%,+.018,-2.2%,-5.6%,+.019,-3.4%,-6.6%,+.026,-2.2%,1.6%,0.7%,0.4%,0.7%,-2.8%,-1.9%,-6.2%,3.4%
DEN,2021,Opponent,72,17480,2883,6149,.469,934,2570,.363,1949,3579,.545,1229,1589,.773,652,2314,2966,1864,540,325,1014,1379,7929
DEN,2021,Opponent/G,,242.8,40.0,85.4,.469,13.0,35.7,.363,27.1,49.7,.545,17.1,22.1,.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1
DEN,2021,Lg Rank,,1,7,3,18,20,22,11,5,4,26,17,16,9,4,2,1,24,12,7,14,15,8
DEN,2021,Year/Year,,-0.1%,0.1%,-1.2%,+.006,7.0%,5.4%,+.006,-2.8%,-5.5%,+.015,-0.1%,-1.9%,+.014,-10.2%,-1.3%,-3.4%,2.0%,4.3%,1.7%,-1.2%,-6.4%,0.9%
DET,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DET,2021,Team,72,17430,2783,6162,.452,832,2370,.351,1951,3792,.515,1278,1683,.759,694,2381,3075,1743,531,371,1075,1477,7676
DET,2021,Team/G,,242.1,38.7,85.6,.452,11.6,32.9,.351,27.1,52.7,.515,17.8,23.4,.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
DET,2021,Lg Rank,,6,28,29,24,22,21,22,22,19,23,7,5,24,18,26,25,18,17,8,25,26,27
